query,doc_id,full_text,h1,h2,qdrant_score,label
Perawatan rambut rontok di ERHA Ultimate Hair Center,042e7526-f4b4-45da-a22c-b1ca117dc0b5,"MANFAAT

Merangsang dan mempercepat pertumbuhan brewok secara maksimal.

<5) 45 menit

(@) Rp999.000

PROSEDUR Anestesi - Treatment

ee

100

ERHA ULTIMATE

HAIR CENTER

SINGLE TREATMENT

Advanced Sayonara Hair Fall Treatment

Treatment untuk mengatasi permasalahan kerontokan rambut, baik yang disebabkan oleh hormonal maupun non-hormonal. Menggunakan metode micro-therapy dan dilengkapi dengan Red Light Therapy.

D) 50 menit

MANFAAT

* Mengurangi kerontokan rambut

@® Mulai dari Rp2.200.000

* Membantu pertumbuhan rambut yang lebih sehat dan kuat

PROSEDUR

Cleansing - Treatment

Sayonara Hair Fall Treatment Series

Treatment pemberian serum pada kulit kepala dengan menggunakan teknik injeksi sehingga bermanfaat untuk menutrisi kulit kepala.

MANFAAT

©) 45 menit @ Mulai dari Rp1.565.000

Mengurangi kerontokan rambut dan membantu mempercepat pertumbuhan rambut.",724126666-ERHA-Ultimate-Pricelist-24.pdf,,0.6840532,1
Perawatan rambut rontok di ERHA Ultimate Hair Center,9072635d-136a-4fac-9c94-766385a9c423,"PROSEDUR

Cleansing - Anestesi- Treatment - Post Treatment

101

ERHA ULTIMATE

HAIR CENTER

SINGLE TREATMENT

Red Light Therapy

Terapi non-invasif (tanpa perlukaan) dengan menggunakan sinar merah pada kulit kepala.

MANFAAT

* Mencegah kerontokan serta kebotakan

* Merangsang pertumbuhan rambut baru

2) 30 menit @) Rp227.500

PROSEDUR

Cleansing - Treatment

©) 45 menit (@) Rp699.000

ltch-Free Scalp Treatment

Perawatan non-invasif menggunakan hydrafacial yang dilakukan oleh Facial Therapist. Perawatan ini menggabungkan vakum dan penyerapan serum ke kulit kepala yang berfungsi untuk menghilangkan minyak dan kotoran serta menutrisi kulit kepala dengan menggunakan beta gentle peel liquid dan serum kulit kepala.

MANFAAT

Membersihkan dan menutrisikan kulit kepala.

PROSEDUR

Cleansing - Treatment

102",724126666-ERHA-Ultimate-Pricelist-24.pdf,,0.68439823,1
Perawatan rambut rontok di ERHA Ultimate Hair Center,7f5ca8a8-cfa4-4f11-ae2a-b7d583d82e65,"TREATMENT PLAN ILLUSTRATION

Product Plan

Basic Plan

Advance Plan

@& Konsultasi dengan Dokter/Dermatologist

@& Konsultasi dengan Dokter/Dermatologist

& Konsultasi dengan Dokter/Dermatologist

@ Rangkaian produk

0) Mulai dari1 bulan

@ Mulai dari RP650.000

& Rangkaian produk & 1Jenis treatment “D) Mulai dari 1 bulan © Muli dari Rp850.000

@ Rangkaian produk

@ lebih dari 1jenis treatment

‘D) Mulai dari 1 bulan @®) Mulai dari Rp2.450.000

*Plan sebagai contoh. Harga, durasi, dan skin goals disesuaikan dengan kondisi kulit masing-masing.

95

ERHA ULTIMATE

HAIR CENTER

SINGLE TREATMENT

Hair Grow Activation Therapy

Terapi yang mengombinasikan teknologi Electroporation Needle System (yang menggunakan Auto Microneedle dan Electroporation) dan Red Light Therapy. Kombinasi ini terbukti efektif meningkatkan penyerapan obat atau serum.

» 30 menitanestesi (bila diperlukan) 45 menit treatment © RpLaeG.008",724126666-ERHA-Ultimate-Pricelist-24.pdf,,0.6488261,1
Perawatan rambut rontok di ERHA Ultimate Hair Center,80a5e2c8-7890-4efd-b174-9514cf9e6b33,"MANFAAT

Menghilangkan & menghambat pertumbuhan rambut pada kaki bagian bawah.

PROSEDUR

Cleansing - Shaving - Treatment

©

98

ERHA ULTIMATE

HAIR CENTER

SINGLE TREATMENT

Extraordinhairy Growth Treatment

Treatment dengan pilihan metode Meso Injection, Microneedling, dan kombinasi untuk pemberian serum yang berasal dari tali pusat manusia yang sudah diproses secara steril mengandung active growth factor.

D) 20-30 menit

—— (©) et aah pRp2.899.000

MANFAAT

* Merangsang pertumbuhan folikel rambut melalui angiogenesis

Mengontrol siklus pertumbuhan rambut

*

* Mempercepat pertumbuhan rambut

PROSEDUR

Cleansing - Anestesi - Treatment - Post Treatment

Hello New Hair Grow Treatment

Treatment pemberian obat yang mengandung anti inflamasi dengan menggunakan metode injeksi intralesi.

MANFAAT

D) 30 menit S) Mulai dari RpRp255.000

Meningkatkan pertumbuhan rambut khususnya untuk pasien Alopecia Areata.",724126666-ERHA-Ultimate-Pricelist-24.pdf,,0.64065176,1
Perawatan untuk menghilangkan stretch mark di tubuh,0a1fbd34-c567-4f7d-ba93-44f4d6a92648,"MANFAAT

Mengurangi tampilan stretch marks putih (striae aloe).

PROSEDUR

Cleansing - Treatment - Post treatment

ee

89

ERHA ULTIMATE

MAKE OVER CENTER

SINGLE TREATMENT

Pore Minimizing Treatment for Body

Treatment dengan teknologi Electroporation Needle System (menggunakan Auto Microneedle dan Electroporation) yang berfungsi untuk merangsang rejuvenasi kulit dengan produksi kolagen, memperbaiki tekstur kulit, serta mencerahkan kulit.

“C) 60 menit

MANFAAT

@) Mulai dari Rp3.000.000

Mengurangi penampakan stretch marks pada area tubuh, memperbgaiki tekstur kulit area tubuh, dan meningkatkan produksi kolagen pada kulit area tubuh.

PROSEDUR

Cleansing - Treatment - Post treatment

Antiperspirant Injection by Botox

Injeksi Botulinum Toxin tipe A ke jaringan otot di bawah kulit dapat membantu untuk mengatasi hiperhidrosis (keringat berlebih) serta mengatasi bau ketiak.",724126666-ERHA-Ultimate-Pricelist-24.pdf,,0.5908426,1
Perawatan untuk menghilangkan stretch mark di tubuh,ae6e1743-2c5a-4ce4-b25f-d599409ea195,"PROSEDUR

Cleansing - Anestesi (optional) - Treatment - Post treatment

88

ERHA ULTIMATE

MAKE OVER CENTER

SINGLE TREATMENT

‘T) 60 menit ‘~ treatment

; ; @ Mulat dari Rp2.000.000

Stretch Marks Reduction Laser by V-Beam

Terapi dengan menggunakan laser V-Beam (USA) yang bekerja langsung ke pembuluh darah. Terapi ini berfungsi untuk mengatasi berbagai gangguan kulit yang disebabkan kelainan pembuluh darah seperti telangiectasia (garis-garis halus kemerahan di kulit akibat pelebaran pembuluh darah), dan varises (pembuluh darah yang membesar dan menebal), serta stretch marks yang masih merah.

MANFAAT

Mengurangi tampilan stretch marks fase awal atau yang berwarna merah.

PROSEDUR

Cleansing - Treatment - Post treatment

“Ty 60 menit Fe treatment

Skin Texture for Stretch Marks by Microneedle RF

Treatment non-ablatif dengan teknologi Microneedle Radiofrequency (MNRF) yang telah terbukti untuk mengencangkan kulit dan memperbaiki penampilan tekstur kulit. Treatment ini berfungsi untuk merangsang pembentukan kolagen dan elastin yang dapat mengurangi penampakan stretch marks dan memperbaiki tekstur kullit.

@ Mulai dari Rp5.000.000",724126666-ERHA-Ultimate-Pricelist-24.pdf,,0.6382767,1
Perawatan untuk menghilangkan stretch mark di tubuh,d01227d8-80db-4cce-991e-6f8aa11caf6c,"MANFAAT Mengobati tumor jinak kulit

@) Mulai dari Rp850.000

*Terapi ini hanya bisa dilakukan oleh dokter dan perlu dikonsultasikan terlebih dahulu.

64

MAKE OVER CENTER

No.1 Customer Satisfaction Rate for Contouring Treatment

JENIS MASALAH BENTUK & TEKSTUR WAJAH & TUBUH

Perut buncit, lengan & paha bergelambir, stretch marks.

oe ett.

Pori-pori besar serta kulit bertekstur dan kasar.

‘ % =

_

<

Pipi chubby, double chin, hidung pesek, bibir tipis, kerutan karena ekspresi, dan volume loss.

65

ERHA ULTIMATE

MAKE OVA CENTER

PROGRAMS

&

Shape Your Love Program Ultimate Makeover Solution

Body Goals Program Body Makeover Solution

Purely Poreless Program Skin Pore Minimizing Solution

TREATMENT PLAN ILLUSTRATION

Product Plan

Basic Plan

Advance Pian

@& Konsultasi dengan Dokter/Dermatologist

& Konsultasi dengan Dokter/Dermatologist

& Konsultasi dengan Dokter/Dermatologist

@& Rangkaian produk

& Rangkaian produk

@ Rangkaian produk

£0) Mulai dari 1 bulan

@ Mulai dari Rp1.131.500

& Photorejuvenation Laser

& Lebih dari 1jenis treatment

‘) Mulai dari 1 bulan © Mulai dari Rp3.750.000 £0) Mulai dari 1 bulan © Mulai dari Rp4.635.000

*Plan sebagai contoh. Harga, durasi, dan skin goals disesuaikan dengan kondisi kulit masing-masing.

66

ERHA ULTIMATE",724126666-ERHA-Ultimate-Pricelist-24.pdf,,0.5761155,1
Perawatan untuk menghilangkan stretch mark di tubuh,fc0fe9d8-5430-4104-af87-cae7727a7c51,"“D) 20 menit anestesi ‘~ 90-30 menit treatment

Crystal Dermabrasion with Collagen Serum for Body

Tindakan microdermabrasi pada tubuh dengan menggunakan micro-crystal dan dilengkapi dengan vacuum yang berfungsi untuk mengangkat sel kulit mati terluar dan merangsang pembentukan sel-sel kulit baru. Dilengkapi dengan pemberian collagen serum sehingga kulit tubuh menjadi lebih kenyal, lebih sehat, dan terlinat cerah. Dapat dilakukan pada area punggung, dada, lengan, kaki, perut, dan area tubuh lainnya.

(tergantung luas area treatment)

MANFAAT

Mulai dari Rp615.000

9)

Meremajakan kulit tubbuh, membuat kulit tampak sehat, kenyal, cerah, dan segar.

PROSEDUR

Cleansing - Anestesi - Treatment - Post treatment

ee

68

ERHA ULTIMATE

MAKE OVER CENTER

SINGLE TREATMENT

D) 30 menit anestesi ‘~ 15 menit",724126666-ERHA-Ultimate-Pricelist-24.pdf,,0.55238545,1
Harga treatment Dermias Max di klinik kecantikan,0a73ce32-ec4a-4823-be2e-ab0f262c50a4,"DERMIAS MAX

Refresh Bright Oxy

Treatment yang bertujuan untuk mengalirkan serum khusus bersamaan dengan oxygen secara optimal ke permukaan kulit, dapat mencerahkan, melembabkan & menutrisi juga memberikan kesegaran pada kulit.

20 Menit

Infrared Photopurifying

Sinar (INFRARED LIGHT) bisa mencerahkan kulit kamu dan berfungsi untuk proses healing kulitmu serta merangsang pembentukan sel kulit baru.

DERMIAS MAx

Prime Purifying

Rp 125.000

Peeling yang bertujuan untuk mengeksfoliasi atau mengangkat sel kulit mati dan mencerahkan wajah.

© 20 Menit

Instant Glow Treatment by IPL

Rp 150.000

Treatment untuk mencerahkan kulit & membuat kulit lebih glowing secara instant dengan menggunakan alat IPL (Instant Pulse Light) untuk wajah & leher.

Neck: Rp 150.000 Face: Rp 300.000 Face & Neck: Rp 425.000

Merupakan treatment mikrodermabrasi menggunakan diamond tip untuk menghilangkan sel-sel kulit mati & merangsang produksi sel kulit baru yang bertujuan untuk membersihkan komedo dan membantu mencerahkan kulit.

© 35-45 Menit

Tindakan facial dengan teknik pengolesan cairan facial & penambahan teknik cooling menggunakan ice globe yang memberikan sensasi cooling & rilex. Berfungsi untuk mencerahkan wajah, mengangkat komedo, melembabkan & mengencangkan kulit.

Vampire Bright Jelly Ice Facial : Rp 195.000 Vampire Bright Jelly Ice Facial + Comedo Extraction: Rp 245.000",661627558-Katalog-Dermies-Max-by-Erha-Hiress.pdf,,0.5650152,1
Harga treatment Dermias Max di klinik kecantikan,e0de5ff5-217d-4206-9b28-fef0c025b47a,"DERMIAS MAX

Perfect Glow Treatment by IPL

Rp 230.000

Kombinasi dua treatment untuk kulit lebih cerah, glowing, menghidrasi kulit, kulit jadi super lembab. Hempas kulit kusam dan warna kulit tidak merata.

Neck: Rp 230.000 Face: Rp 370.000 Face & Neck: Rp 600.000

Bright & Glow Facial

Facial yang cocok untuk kulit normal dan kering yang bertujuan untuk membersihkan komedo dan mencerahkan kulit.

DERMIAS MAx

© 10-30 Menit

Mulai dari

Body Glow Peeling

Treatment Peeling yang bikin area tubuh kamu lebih cerah, warna kulit merata dan glowing maksimal, serta dapat memperbaiki texture kulit sehingga menjadi lebih halus dan mulus.

Body Glow Peeling Feet : Rp 135.000 Body Glow Peeling Hands: Rp 135.000 Body Glow Peeling Kneecap: Rp 175.000 Body Glow Peeling Upper Arms: Rp 190.000 Body Glow Peeling Lower Arms: Rp 190.000 Body Glow Peeling Back: Rp 225.000 Body Glow Peeling Upper Legs: Rp 380.000 Body Glow Peeling Lower Legs: Rp 380.000",661627558-Katalog-Dermies-Max-by-Erha-Hiress.pdf,,0.59101963,1
